zip,sumtotal
21401,3135
70130,3100
34990,3084.18
48071,3080
85266,3075
18938,3070
85298,3070
92067,3065
07960,3060.63
14120,3055
60045,3055
63124,3055
11209,3050
77381,3048
96814,3035
92028,3020
29466,3015
32163,3010
98201,3002.95
31510,3000
33141,3000
38606,3000
43021,3000
60093,3000
73025,3000
94562,3000
76248,2996
60047,2980
90731,2980
30506,2972
11530,2960
60527,2960
33904,2955
60126,2955
92647,2955
33166,2950
08053,2940
33908,2940
37215,2940
78759,2940
34135,2935
33408,2925
44236,2920
30188,2915
95966,2900
37874,2890
31410,2865
36535,2865
43055,2843
34202,2830
85262,2830
62249,2825
97303,2825
48314,2824
57702,2810
75762,2810
06001,2800
44131,2800
77476,2800
85259,2800
90272,2800
77379,2795
90266,2795
80127,2775
21060,2774
47304,2763
07461,2750
53092,2750
75252,2750
76548,2750
83404,2750
94703,2750
78734,2740
92211,2732
76107,2725
92373,2721
86305,2720
96821,2720
02090,2710
76028,2700
10314,2690
11030,2685
92011,2685
59901,2680
77356,2670
95746,2660
49720,2655
49445,2650
54615,2650
10025,2640
78633,2637
80108,2635
32118,2634.55
48306,2630
26554,2625
23188,2610
46526,2605
76087,2595
93454,2595
33525,2590
54016,2589.1
77802,2585
75032,2575
59910,2570
78701,2565
30350,2555
20003,2550
93515,2550
94506,2550
95618,2550
98074,2550
37421,2545
30075,2535
11786,2520
34228,2520
29455,2510
85268,2505
02837,2500
06426,2500
06790,2500
08730,2500
10968,2500
22201,2500
45432,2500
48124,2500
65203,2500
66208,2500
68069,2500
75158,2500
77227,2500
78217,2500
83401,2500
90069,2500
97231,2500
92506,2491
28405,2475
34292,2470
87301,2465
34119,2460
33308,2455
92037,2455
35213,2450
54455,2450
19426,2449
34986,2445
76110,2440
18104,2430
94070,2425
76450,2422
20170,2415
33330,2410
89451,2410
25314,2400
38017,2400
10306,2395
66211,2390
75080,2390
33928,2380
30024,2375
33019,2375
75214,2375
48236,2365
89032,2355
15143,2350
77382,2350
89450,2350
33156,2340
94573,2335
21784,2330
75229,2330
92886,2330
98683,2330
27613,2328
75209,2315
77070,2315
29073,2310.26
94530,2305
32081,2300
74137,2300
92626,2300
48430,2290
11743,2285
65201,2285
85044,2285
95030,2283.63
30022,2280
85377,2280
07470,2275
10536,2275
11758,2270
43235,2267
60134,2265
93306,2264.5
80132,2255
90805,2255
07722,2250
22042,2250
38117,2250
43065,2250
45409,2250
46173,2250
85021,2250
85248,2250
92054,2245
28105,2232
67230,2225
74006,2220
04110,2215
12203,2215
32541,2215
11730,2205
34236,2205
78133,2205
45440,2200
63103,2200
81003,2200
85375,2200
86404,2200
46228,2175
19422,2160
06877,2155
28712,2155
30328,2150
46204,2150
94301,2145
30062,2140
32806,2140
33556,2135
98277,2135
33064,2130
37405,2125
98382,2125
22202,2120
80129,2110
44333,2100
55327,2100
73703,2100
91711,2100
92883,2100
76109,2095
85224,2095
32779,2090
46034,2090
92603,2090
91321,2085.91
76430,2075
44145,2070
76034,2070
30120,2065
77019,2065
77546,2055
91941,2055
95630,2055
19083,2050
29720,2050
33040,2050
68506,2050
77586,2050
84010,2050
91401,2050
89135,2048.94
31792,2045
78231,2045
33458,2040
46142,2040
66207,2040
48302,2035
67401,2030
78130,2030
37934,2025
92691,2025
20165,2020
85650,2020
91209,2020
07666,2010
33409,2010
78628,2010
81620,2010
22030,2005
27517,2005
02135,2000
06721,2000
07417,2000
10471,2000
10918,2000
12309,2000
17961,2000
19481,2000
19512,2000
20009,2000
23103,2000
24153,2000
30175,2000
32067,2000
32159,2000
32505,2000
32540,2000
33304,2000
35244,2000
37315,2000
37738,2000
45036,2000
52101,2000
53818,2000
60091,2000
63077,2000
70818,2000
75063,2000
77429,2000
77587,2000
78505,2000
80122,2000
80540,2000
87402,2000
87935,2000
89434,2000
91207,2000
92075,2000
93007,2000
95954,2000
96782,2000
97038,2000
98296,2000
85395,1995
91105,1991
03060,1987
60137,1975
48170,1970
60423,1970
70002,1970
77018,1970
85215,1970
98926,1970
39110,1955
93953,1955
76712,1950
33301,1945
93012,1945
73132,1943.69
33437,1925
55391,1925
15214,1920
92673,1915
15044,1905
33436,1900
95762,1900
29926,1895
80504,1895
93420,1895
75165,1885
22152,1863.69
30117,1860
48009,1860
76126,1855
11542,1850
19006,1850
34238,1850
57110,1850
76092,1850
78613,1850
89506,1850
49546,1845
65804,1845
70520,1845
32073,1844
11576,1840
19348,1835
77007,1835
89523,1835
37043,1830
95382,1830
80525,1825
85020,1825
53186,1815
78624,1815
22101,1810
49286,1810
90025,1810
04073,1805
30014,1805
92345,1805
03903,1800
19087,1800
32210,1800
34223,1800
44094,1800
80920,1800
82718,1800
85749,1800
92653,1800
32308,1790
76008,1785
80465,1779.28
29575,1777
53005,1775
76063,1775
77357,1775
80403,1775
95667,1775
44114,1770
48178,1770
80121,1770
80123,1770
33647,1767.5
20814,1765
08807,1760
14580,1760
78070,1760
43220,1758
29585,1755
33613,1755
34786,1755
95864,1755
11801,1754.73
10024,1750
20002,1750
20004,1750
34688,1750
35216,1750
51503,1750
78739,1750
71106,1745
78260,1745
32224,1740
55435,1740
44212,1735
77386,1735
78738,1735
30642,1730
33433,1730
92646,1725
95124,1725
18661,1720
28779,1720
30028,1720
80231,1720
98375,1720
83001,1716
63701,1715
11733,1710
76051,1710
40502,1705
44654,1705
91355,1705
15222,1700
89131,1700
97302,1685
98257,1682
48331,1680
89012,1675
90046,1675
34997,1670
53072,1670
62521,1670
97062,1670
32207,1660
45419,1660
77077,1660
40204,1655
31904,1650
33914,1650
48307,1650
63127,1650
72404,1650
85254,1650
94402,1650
30721,1645
34104,1645
90803,1645
95688,1645
32507,1640
98367,1635
99362,1630
33324,1625
68847,1625
98188,1625
15317,1620
34120,1620
76513,1620
17543,1615.5
14221,1615
28012,1615
32940,1615
32801,1612
29464,1610
48323,1610
60459,1610
94595,1607.5
08844,1605
30115,1605
30127,1605
60103,1605
85207,1605
33405,1600
79124,1600
90732,1600
70810,1595
32746,1590
77041,1590
95003,1585
98642,1585
95822,1580
85742,1575
93921,1575
34293,1570
33009,1565
91108,1565
20118,1560
79912,1560
83835,1560
85739,1560
02043,1555
48081,1555
85365,1555
91352,1555
97381,1555
27526,1550
32256,1550
33435,1550
34983,1550
55337,1550
68723,1550
73012,1550
95252,1550
92625,1545
47150,1540
78641,1539.55
32405,1535
68901,1530
80537,1527.3
18411,1525
20854,1525
30052,1525
80301,1525
44256,1520
68516,1520
75087,1520
17331,1517.28
07726,1515
30097,1515
58833,1515
77459,1515
77713,1515
07001,1510
77347,1510
44216,1505
11021,1504.09
33129,1502
04544,1500
07446,1500
10307,1500
19106,1500
19380,1500
20001,1500
23838,1500
27260,1500
30517,1500
34114,1500
35125,1500
37923,1500
38372,1500
46038,1500
47630,1500
48346,1500
53406,1500
53597,1500
57717,1500
63122,1500
66514,1500
74135,1500
75010,1500
75093,1500
77539,1500
79413,1500
94114,1500
97401,1500
97739,1500
98033,1500
98230,1500
98290,1500
99337,1500
99338,1500
11566,1495
11559,1490
29910,1490
76116,1490
33467,1485
70471,1485
95037,1485
19707,1475
76904,1475
30040,1470
31404,1470
33715,1470
45230,1470
78023,1470
84770,1470
90740,1470
48420,1465
92683,1465
11968,1460
19958,1460
29576,1460
40601,1460
55308,1460
92672,1460
07728,1455
52302,1455
92354,1455
94945,1455
98837,1455
15068,1450
22901,1450
32312,1450
32459,1450
33325,1450
48640,1450
84067,1450
84790,1450
85194,1450
89134,1450
92399,1450
17033,1445
33134,1445
36830,1445
78132,1445
82414,1445
92504,1445
02061,1440
33919,1440
34113,1440
34229,1440
99352,1440
02301,1435
40047,1430.3
37343,1430
77005,1430
77373,1430
89701,1430
76550,1425
85658,1425
11771,1420
33062,1420
33917,1420
33950,1415
91364,1415
94588,1410
98685,1410
94550,1405
99603,1405
20008,1401
07869,1400
19342,1400
20833,1400
30319,1400
33473,1400
39401,1400
82941,1400
24460,1395
35801,1395
74136,1395
78015,1390
14830,1385
34109,1380
33618,1375
36116,1375
31406,1370
37415,1370
73072,1370
12866,1368.69
73013,1365
77338,1365
32092,1360
32724,1360
80113,1360
98662,1360
36330,1359
43017,1355
44107,1355
02481,1350
31202,1350
35504,1350
48138,1350
60448,1350
60540,1350
65809,1350
75231,1350
78245,1350
80526,1350
87544,1350
90402,1350
93657,1350
22032,1348.39
60004,1345
82901,1345
45662,1343.34
35243,1340
03253,1335
34952,1335
44720,1335
23233,1330
44024,1330
77532,1330
90004,1330
94553,1330
35226,1326
01453,1325
34996,1325
61802,1325
94939,1325
81658,1323
10804,1320
33823,1320
60521,1320
75240,1320
80234,1320
81601,1320
93065,1315
06002,1310
08759,1305
20120,1305
28226,1305
60031,1305
78703,1305
08330,1300
18901,1300
28603,1300
29841,1300
33872,1300
44903,1300
46220,1300
66614,1300
75605,1300
76049,1300
78726,1300
78733,1300
82935,1300
87109,1300
37922,1295
80634,1295
80906,1295
20194,1290
29621,1290
48357,1290
93924,1290
22025,1285
32967,1285
33143,1285
54115,1285
77573,1285
33176,1280
73096,1280
98532,1280
06903,1275
34285,1275
37769,1275
58501,1275
70570,1275
78401,1275
76244,1271
12831,1270
35209,1270
38655,1270
44116,1270
46037,1270
48324,1270
60090,1270
85028,1270
89117,1270
93405,1270
93940,1270
99203,1270
20906,1265
97034,1265
99508,1265
19020,1260
27012,1260
32550,1260
38103,1260
60015,1260
85296,1260
98109,1260
53916,1258
95070,1257
06473,1255
33549,1255
47201,1255
51106,1255
68022,1255
90278,1255
01040,1250
02459,1250
06488,1250
07920,1250
08628,1250
11568,1250
13126,1250
13460,1250
19081,1250
21209,1250
21236,1250
24112,1250
29560,1250
30329,1250
30656,1250
31902,1250
32127,1250
32750,1250
33880,1250
34689,1250
37130,1250
39705,1250
40299,1250
43040,1250
44039,1250
44718,1250
45039,1250
45044,1250
45246,1250
46032,1250
46321,1250
47401,1250
48348,1250
49685,1250
54313,1250
55347,1250
55902,1250
56308,1250
65775,1250
70001,1250
73018,1250
73750,1250
75028,1250
76033,1250
76103,1250
77009,1250
84004,1250
86327,1250
89015,1250
91360,1250
92120,1250
92592,1250
93611,1250
95361,1250
98248,1250
99556,1250
70065,1248.19
30318,1245
49202,1245
70508,1245
77320,1245
83616,1245
21146,1240
43402,1240
55734,1240
77901,1240
27608,1235
33809,1235
38583,1235
45701,1235
64804,1235
78261,1235
88220,1235
80226,1233.77
94707,1231
07601,1230
11772,1230
34112,1230
37129,1230
46260,1225
48304,1225
84109,1225
27615,1224.38
15237,1220
19438,1220
32958,1220
36561,1220
37876,1220
46517,1220
77905,1220
85351,1220
90265,1220
92562,1220
92618,1220
93309,1220
95831,1220
01984,1215
94563,1215
28219,1210
28461,1210
32168,1210
35758,1210
60051,1210
75089,1210
80020,1210
84066,1210
50266,1209
23669,1205
32309,1205
80138,1205
93636,1205
10470,1200
30110,1200
31405,1200
84121,1200
85251,1200
87123,1200
92270,1200
96769,1200
62467,1195
07458,1190
28403,1190
49083,1190
07090,1185
19490,1185
46845,1185
11230,1180
24014,1180
48315,1180
52577,1180
91776,1180
19067,1175
32408,1175
70360,1175
32579,1170
50322,1170
76132,1170
90077,1170
93117,1170
02540,1165
16508,1165
63141,1165
77845,1165
11040,1160
36109,1160
38053,1160
48169,1160
92009,1160
98331,1160
33884,1155
80503,1155
28562,1150
46033,1150
53158,1150
75901,1150
92630,1150
92866,1150
99019,1150
99223,1150
28715,1145
33158,1145
45840,1145
55343,1145
79109,1145
91344,1140
47331,1139
73505,1137
14559,1136
27265,1130
55356,1130
34274,1125
89129,1125
22205,1120
33707,1120
45133,1120
48105,1120
60610,1120
77013,1120
80528,1120
98136,1120
60123,1115
64086,1115
77657,1115
01886,1110
01930,1110
06033,1110
18045,1110
18944,1110
36532,1110
42171,1110
46307,1110
49676,1105
61108,1105
06019,1100
10709,1100
18914,1100
21722,1100
22315,1100
27865,1100
27889,1100
28101,1100
28466,1100
29566,1100
30633,1100
30830,1100
33130,1100
33434,1100
37076,1100
38344,1100
39560,1100
43212,1100
48085,1100
60558,1100
68351,1100
68436,1100
72015,1100
73101,1100
75803,1100
77505,1100
79738,1100
83642,1100
85119,1100
88221,1100
89102,1100
91350,1100
91702,1100
92799,1100
95367,1100
96826,1100
32250,1095
37204,1095
65742,1095
95993,1095
64477,1090
72116,1090
92065,1086.67
48309,1085
96001,1085
96816,1085
15238,1080
36360,1080
10573,1075
27614,1075
92648,1075
93536,1075
79772,1070
81001,1070
21157,1065
91354,1065
11357,1062.5
01772,1060
15090,1060
50156,1060
68955,1060
93257,1060
46952,1055
92026,1055
95687,1055
45322,1053
13820,1050
23454,1050
29483,1050
32086,1050
33412,1050
33449,1050
33993,1050
44060,1050
45244,1050
45381,1050
53029,1050
55021,1050
58801,1050
65049,1050
77068,1050
91387,1050
92056,1050
95959,1050
96825,1050
98332,1050
17013,1045
30189,1045
48161,1045
75965,1045
92019,1045
98006,1045
06830,1040
13082,1040
32413,1040
29803,1035
64079,1035
77590,1035
80237,1035
85302,1035
92130,1035
93403,1035
02818,1030
15213,1030
32907,1030
43140,1030
84020,1030
04084,1026
20815,1025.05
00729,1025
58104,1025
60025,1025
75244,1025
80135,1025
91733,1025
92867,1022
33090,1020
37918,1020
45122,1020
38016,1016
22192,1015
53020,1015
62025,1015
75006,1015
75074,1015
85396,1015
90808,1015
92260,1015
08853,1010
19063,1010
19503,1010
23226,1010
30326,1010
31545,1010
44108,1010
78257,1010
81632,1010
94559,1010
11940,1005
13088,1005
53168,1005
60614,1005
75039,1005
93010,1005
01240,1000
02420,1000
02539,1000
02601,1000
02649,1000
03750,1000
03753,1000
04217,1000
07435,1000
07450,1000
07738,1000
08302,1000
08502,1000
08804,1000
10309,1000
10580,1000
10583,1000
10987,1000
11577,1000
11715,1000
11930,1000
13601,1000
14207,1000
14534,1000
14903,1000
15101,1000
16046,1000
16509,1000
16655,1000
17262,1000
19029,1000
19073,1000
19312,1000
20191,1000
20781,1000
21117,1000
21286,1000
22003,1000
22079,1000
22305,1000
22311,1000
22652,1000
23430,1000
27332,1000
28339,1000
28468,1000
28546,1000
28570,1000
29528,1000
29680,1000
30047,1000
30087,1000
30092,1000
30269,1000
30655,1000
31069,1000
31082,1000
32084,1000
32176,1000
32428,1000
32608,1000
33017,1000
33024,1000
33178,1000
33179,1000
33184,1000
33332,1000
33510,1000
34240,1000
34269,1000
34423,1000
34639,1000
34684,1000
34984,1000
35043,1000
35634,1000
36564,1000
36604,1000
37014,1000
37085,1000
37160,1000
37212,1000
37371,1000
38549,1000
38771,1000
39047,1000
39209,1000
39212,1000
39773,1000
40067,1000
40222,1000
42021,1000
43074,1000
43221,1000
43953,1000
44432,1000
44484,1000
44805,1000
44870,1000
45805,1000
46158,1000
46214,1000
46268,1000
46411,1000
46774,1000
48003,1000
48095,1000
48326,1000
48363,1000
48370,1000
48601,1000
48626,1000
48864,1000
49302,1000
49654,1000
49740,1000
52002,1000
52246,1000
53097,1000
53402,1000
53703,1000
53704,1000
53726,1000
55429,1000
57720,1000
58854,1000
59405,1000
59937,1000
60074,1000
60606,1000
60657,1000
61911,1000
62260,1000
63110,1000
63368,1000
64083,1000
65714,1000
66205,1000
67206,1000
67301,1000
67548,1000
68106,1000
68127,1000
70072,1000
71261,1000
72336,1000
74120,1000
74344,1000
75020,1000
75081,1000
75228,1000
75247,1000
75604,1000
75904,1000
76226,1000
76825,1000
76950,1000
77002,1000
77029,1000
77237,1000
77345,1000
77377,1000
77578,1000
78469,1000
78720,1000
79714,1000
79739,1000
79768,1000
79922,1000
80015,1000
80023,1000
80201,1000
80229,1000
81235,1000
81301,1000
84663,1000
84730,1000
85263,1000
85629,1000
85715,1000
87504,1000
89141,1000
89411,1000
90241,1000
90262,1000
90715,1000
91326,1000
91356,1000
91730,1000
91768,1000
92020,1000
92352,1000
92606,1000
92624,1000
92692,1000
92885,1000
93001,1000
93244,1000
93457,1000
93622,1000
93901,1000
94027,1000
94132,1000
94556,1000
94561,1000
94710,1000
95076,1000
95138,1000
95209,1000
95316,1000
95354,1000
96754,1000
97133,1000
97214,1000
97321,1000
97374,1000
97426,1000
98019,1000
98031,1000
98275,1000
98310,1000
98391,1000
98445,1000
99577,1000
24018,995
24590,995
29672,990
34106,990
37818,990
38632,990
60060,990
65721,990
24012,985
63017,985
65810,985
92585,985
92860,985
98133,985
22405,984
89460,984
12540,980
57103,980
58503,980
66062,980
74114,980
92657,980
30533,975
37087,975
38111,975
68123,975
73170,975
02865,970
08809,970
22193,970
26050,970
32765,970
38028,970
40165,970
44044,970
62269,970
70506,970
86004,970
89011,970
91710,970
99664,970
01545,965
02215,965
60160,965
60181,965
79602,965
28037,960
75091,960
76137,960
78239,960
78414,960
78664,960
93292,960
80918,957.28
19425,955
80134,955
86432,955
93291,955
95650,955
07930,950
20171,950
28605,950
36590,950
44406,950
48038,950
72223,950
79764,950
82701,950
87506,950
11229,948.5
21234,945
12585,940
22031,940
35613,940
35967,940
84065,940
84093,940
86406,940
93450,940
16059,935
27612,935
33813,935
48843,935
78640,935
91103,935
91311,935
93514,935
95131,935
98020,935
11731,930
32766,930
55304,930
95242,930
76182,926
22204,925
23456,925
32169,925
33907,925
54915,925
60189,924.55
03431,920
08540,920
41042,920
76114,920
77058,920
29617,916
13622,910
37615,910
45434,910
98684,910
11106,905
11557,905
45247,905
63021,905
82801,905
28451,901
11373,900
11705,900
19810,900
26175,900
44001,900
45066,900
48168,900
78240,900
93277,900
97058,900
73651,895
78563,895
43351,893.67
29801,890
30253,890
75078,890
99354,890
23455,885
34769,885
37701,885
53566,885
80817,880.2
15554,880
49036,880
63005,880
95818,880
10312,878.69
28460,875
92821,875
94002,875
23113,870
29451,870
32444,870
55082,870
98221,870
07430,865
30046,865
44070,865
85014,865
86301,865
93465,865
98264,865
30663,862
82609,860
78620,856
35803,855
55331,855
58554,855
64119,855
92024,855
98168,855
11590,850
29401,850
