zip_code,total,name
20815,394566.57,"Chevy Chase, MD"
60601,345019,"Chicago, IL"
10024,220831.5,"New York, NY"
90024,201207.84,"Los Angeles, CA"
20814,177963,"Bethesda, MD"
60611,174939,"Chicago, IL"
94126,170100,"San Francicso, CA"
60302,168502,"Oak Park, IL"
90210,151146,"Beverly Hills, CA"
94115,132932.68,"San Francicso, CA"
