zip_code,total,name
77002,539605,"Houston, TX"
10019,414544,"New York, NY"
75024,389100,"Plano, TX"
10065,361275.3,"New York, NY"
27408,341246,"Greensboro, NC"
90210,298977,"Beverly Hills, CA"
75205,294415,"Dallas, TX"
75225,261570,"Dallas, TX"
7450,250265,"Ridgewood, NJ"
11530,241969,"Nassau County., NY"
