zip_code,sumtotal
19130,5402
97089,5400
94070,5391.18
91941,5386.5
20171,5365
57783,5361
20036,5360
90036,5337
33062,5325
97215,5307
02453,5305
22079,5291
03110,5277
30030,5275
10706,5273
94086,5261
07042,5254
94102,5243
94530,5236
20118,5235
78654,5234
93111,5220
02474,5216.25
18977,5213
98005,5213
95816,5212
80301,5203.13
59860,5200
08034,5190
10580,5190
55124,5190
22203,5187.24
95476,5184
95076,5170
10029,5159
02113,5125
63130,5112
02143,5105
30327,5101.18
92103,5097.66
75672,5075
90292,5069
02420,5065
93401,5060
22901,5058.25
91362,5053
90019,5051.96
44718,5030
94030,5016
02339,5000
02779,5000
06022,5000
10169,5000
33303,5000
88646,5000
33908,4987
94523,4984
21601,4979
37919,4976
90245,4974.96
98368,4964.5
10591,4963
21210,4945
32162,4933
22041,4915
04101,4913
44118,4909
78759,4891
10004,4870
20906,4868
87122,4859
90275,4846
94619,4844
87107,4835
83616,4812.66
06437,4808.05
98121,4807.5
53711,4799.75
95825,4791.5
94558,4787
20878,4784
80220,4773
06840,4770.98
48167,4765
19119,4758
94404,4728
93065,4691
92064,4689
55105,4687.5
70118,4677.5
95425,4676
14534,4664
01760,4663.18
33134,4652
19072,4645
96734,4642
29605,4623
94401,4620
02472,4587
04841,4585
28211,4571
37205,4552
28226,4540
98672,4535
94595,4528
07302,4521
63122,4513
20024,4508
98229,4504.75
98221,4498
02129,4492
98107,4470
07901,4465
37212,4463
94112,4453
65203,4441
80210,4420
94041,4410
12401,4400.5
91030,4374
45458,4372
34242,4348
30033,4329.66
94002,4320
47401,4318
85614,4268
05753,4265
95831,4264
19118,4261
95003,4246
27707,4240
43209,4228
98118,4224
02118,4210
53719,4210
33418,4198
11375,4195
48864,4193
49506,4190
80525,4179
22302,4165.5
03038,4158
05401,4157
07666,4134
22902,4129
02141,4103
07043,4098
55127,4090
87507,4077
94014,4073
59715,4067
30345,4060
91104,4051
95030,4048
19038,4042
43402,4036
07652,4035
92109,4030
80526,4020
07021,4000
13778,4000
95628,3966
01720,3963
21045,3961
08904,3960
19066,3959
91108,3945
98012,3941
33957,3935
70115,3930
97401,3929
10804,3913
97225,3892
87544,3882
94566,3866.66
06032,3855
30306,3845
92657,3843
97221,3837
34786,3820
95062,3814
80305,3792
21218,3781
93924,3773
33308,3757
91006,3750
19803,3737
66205,3733
07040,3730
53717,3723
10514,3719
97006,3714
19010,3709
37027,3708
02115,3696
14222,3696
93001,3693
55116,3690.18
11791,3687
02452,3686
98028,3682.5
22305,3677
53211,3675
10504,3665
19027,3656
87104,3642
33410,3638.5
33432,3635
27607,3630
95762,3628
87508,3622.5
80503,3622
97403,3615
44074,3613
34293,3600.18
11030,3595
07030,3581.5
10001,3580
22209,3577
84121,3574
86004,3567
98199,3567
20818,3561
84098,3558
97205,3554
48059,3551
06612,3550
92562,3543
55419,3541
76092,3540
80205,3540
30319,3532
10002,3531
95828,3530
92067,3520.48
10562,3501
20901,3501
22204,3501
66209,3494
85255,3486.25
72703,3486
94019,3479
33483,3478
12159,3475
33133,3470.5
77459,3469
93428,3466
22202,3465
10301,3460
10036,3457
75220,3440
80504,3436
60005,3434
02461,3427.5
11576,3415
66047,3415
19041,3405
31405,3401
21093,3396
95501,3396
57301,3395
55409,3393
44122,3390
04011,3387
77024,3386
94608,3385
10038,3381
95405,3378
01810,3371
94044,3368.18
22304,3364
07052,3360.74
77027,3358
19006,3352
20740,3351
91360,3349
95670,3336
20715,3333
92107,3329
27410,3328
02535,3325
97222,3323
77077,3321
11218,3317
94403,3313
34228,3312.35
75077,3301
93004,3293.05
40206,3293
06824,3274
03768,3259
85284,3254
06085,3250
22182,3250
45208,3246.18
21012,3246
66049,3241
20876,3240
92637,3239
94804,3239
22043,3230
03301,3229
91107,3225
14221,3220
92262,3218
95051,3216
60061,3215
81611,3215
91311,3215
98260,3215
22307,3203
63132,3203
85253,3202.5
19085,3202
19375,3200
20012,3199
92506,3197
19382,3196.5
93442,3191
78633,3181
80207,3178
97306,3176
78210,3175
90740,3173
27519,3165
29464,3159
19096,3150
80231,3149
30329,3144
98070,3141
70124,3138
70360,3135
93101,3130
94553,3126
22312,3125
94947,3122
43221,3113
21044,3105
30076,3104
80026,3103
37830,3102
75219,3101
92627,3097
27713,3094.18
97504,3094
92116,3088
85745,3087
89703,3077
34292,3072
55112,3068
92270,3058
96744,3058
98382,3042
07728,3038
90505,3030
47906,3028
89131,3026
06807,3025
91902,3025
98034,3011
92646,3010
15213,3000.5
15037,3000
56353,3000
06107,2999.18
29631,2999
93711,2996
33431,2995
70806,2995
27613,2994
33876,2985
75230,2985
92869,2981
11963,2978
10530,2975
77025,2975
90731,2970
87110,2967.4
94556,2966
32084,2965.5
98501,2963
22903,2962
22181,2956
32605,2951.18
95757,2950
98407,2943
17033,2941
65201,2941
20165,2940
10576,2936
94536,2932
02124,2930
11432,2926
99163,2919
08559,2915
10471,2914
30350,2911
94704,2911
92117,2908
21230,2906
20759,2900
97116,2888.66
21409,2879.5
14202,2875
33156,2875
94502,2873
20004,2868
81301,2867
27612,2864
95112,2864
08558,2860
53703,2853.66
13676,2850
78015,2850
32789,2843
95032,2840
95695,2835
06426,2830
11746,2814.1800000000003
60540,2814
33437,2813
94970,2813
30062,2806
21678,2804
12054,2802
77030,2802
94559,2799
06897,2793
60137,2787
93110,2786
28804,2780.5
11235,2778
10577,2775
19460,2773
80122,2771.66
97703,2770
86001,2763
60660,2760.1800000000003
93103,2754
94597,2750
99516,2746
55345,2743
95066,2741
49009,2739
38111,2738
93109,2738
90712,2735
95120,2732
22003,2729
75206,2726
11021,2721
43065,2720
60026,2720
80501,2720
20905,2719
90230,2719
34134,2713
02176,2711
50613,2706
60305,2704
33606,2702
28730,2700
91325,2699
79605,2691
07869,2685
21212,2684
96821,2677
33428,2675
90043,2675
60647,2671
90803,2663
46074,2660
48377,2660
94574,2656
07078,2653.6800000000003
77079,2653
95650,2651
10018,2650
55408,2650
10026,2641
90012,2632
30605,2627
80528,2618
02062,2615
19063,2609.67
02458,2606
97302,2606
02144,2604.44
03755,2600.5
28127,2600
61801,2600
91403,2599
95926,2592
22911,2583
55001,2580
97217,2576
89120,2575
94588,2575
19147,2573
14216,2568
72205,2561
60004,2558.18
19342,2550
47362,2550
22032,2546
50322,2546
92614,2535
08822,2529
50010,2522.5
32174,2522
95687,2522
40203,2515
87106,2509
98607,2508
80906,2504
22124,2503
78750,2501
92672,2501
21794,2500
73072,2500
79905,2500
94976,2500
94803,2499
90020,2498
01930,2495
59404,2495
90305,2488
22015,2485
53217,2479
80919,2478
95814,2478
77450,2476
73118,2475
99501,2475
50014,2469
90041,2469
91356,2464
95370,2464
94534,2462
19102,2455
83642,2455
02090,2453
85281,2453
08831,2450
06068,2447
44120,2445
20147,2443
91306,2443
89519,2438
92618,2432
45241,2431
71107,2430
71201,2426
21620,2425
74135,2425
30305,2423
92101,2420
02110,2418
37064,2418
77554,2418
63141,2416
97759,2416
03062,2410
87529,2405
92626,2405
11570,2403
02324,2400
60527,2395.34
32303,2394
78745,2394
91101,2394
20190,2393
48642,2393
22308,2385.18
01776,2385
07920,2382
30809,2378
53202,2377
60517,2377
96712,2375
19713,2373
80224,2373
96822,2371
97008,2371
90005,2368.5
95129,2362
60558,2360
60654,2360
92108,2360
08043,2357
89074,2353
60010,2352.5
20874,2351
15206,2346
48009,2346
55418,2345
92603,2345
92886,2343.5
33487,2340
61820,2339
06473,2338
22180,2338
91206,2338
94923,2338
92660,2335
99223,2331
10463,2330
84060,2330
92075,2325.1800000000003
03766,2325
06793,2325
27511,2322
48108,2320
08033,2317
90290,2314
55804,2313
90038,2313
77004,2310
60544,2302
98133,2298.5
61802,2291
01752,2288
77019,2288
33404,2286
02043,2285
20721,2285
07450,2283
52101,2280
99517,2276
92007,2274.5
40205,2273
02667,2270
08232,2270
01730,2269
18902,2268
70808,2267.5
34119,2267
29401,2265
43035,2262
07079,2261.5
97232,2260
55108,2257.5
06475,2250
12210,2250
27510,2250
83340,2250
06355,2245
22030,2245
92129,2243
92617,2241
94085,2241
94507,2241
97213,2240
92673,2233
93449,2230
55082,2229
94945,2222
85747,2221
80113,2218
08081,2215
73013,2215
87109,2211
21146,2209
95959,2206
60043,2200
35803,2198
78758,2195
92683,2193
30606,2192
77479,2191
48331,2188
98072,2187
21405,2185
89509,2185
19446,2182
91342,2180
02030,2175
91401,2173.0299999999997
43085,2173
90211,2171
22206,2170
98126,2170
95126,2169
65804,2167
77006,2166
95630,2165
60025,2164
10033,2162
11530,2158
40601,2155
60515,2155
45231,2154
97370,2153
59807,2151
92121,2151
95010,2146
78757,2144
95746,2137
92663,2134
95128,2133
91602,2131
08003,2122
02536,2121
85716,2121
46250,2120
91607,2116
90278,2112
97201,2104
91301,2102
95015,2100
55317,2095
80909,2095
92691,2094
92011,2092
60525,2088
46208,2085
24018,2082
07712,2074
99508,2074
92679,2072
21043,2071.5
21206,2067
90802,2067
18914,2065
93010,2064
06410,2061
85007,2060
02494,2059.23
94531,2059
10031,2053
06611,2050
97754,2050
94065,2049.32
50312,2049
94577,2048.98
01301,2046
01950,2046
37211,2045
32608,2041
60607,2041
78666,2041
97471,2041
32504,2035
30342,2034
07073,2030
91361,2028
97304,2026
21788,2025
94039,2025
96725,2025
98683,2025
04957,2024
21228,2024
15208,2019
10032,2018
43016,2015
55410,2010
75062,2009
97007,2009
98022,2007
03036,2006
77008,2006
81507,2006
80014,2003
11735,2000
23009,2000
25301,2000
27019,2000
29078,2000
44287,2000
48353,2000
76106,2000
94957,2000
96160,2000
98145,2000
22042,1999
96789,1997
49855,1996
21209,1995.5
35216,1995
43023,1993
98335,1993
80134,1992
75080,1989
80238,1988
89002,1986
93446,1986
94026,1979
32034,1978
37043,1977
19320,1976
92625,1976
15044,1975
96825,1975
75225,1973
78213,1971
85262,1962
32043,1961
92807,1959
89052,1955
14618,1954
15232,1953
27513,1953
95118,1951
97224,1951
45215,1947
80202,1947
32082,1945
52246,1945
95661,1945
33021,1944
92131,1943.95
90807,1940
07675,1938
24060,1938
60616,1938
60602,1937
92056,1937
06510,1932
80524,1932
22150,1931
27103,1931
06268,1928.5
21030,1920.09
22192,1920
66212,1920
94080,1920
19971,1919
76109,1916
27858,1915
96743,1915
87048,1914
11725,1911
94925,1911
05482,1908
94596,1908
80203,1907
85282,1902.5
06405,1901
30068,1901
60015,1900
08902,1897
12309,1897
27012,1896
59102,1895
60304,1895
06084,1894
06033,1891
32259,1890.55
55405,1883
15241,1882.5
06119,1882
35801,1877
37421,1876.68
89502,1876
12804,1875
52501,1875
95207,1873
24503,1870
63108,1868
95020,1868
40241,1867
33496,1866
84790,1860
77062,1859
78738,1855
98075,1852
63366,1851
01803,1850
95138,1850
10007,1848
60062,1848
10034,1846
80121,1845
91326,1844.33
94510,1840
95110,1837
92102,1833
30339,1832
77380,1831
02886,1830
80477,1828
01741,1825.18
44040,1825
95482,1825
61114,1822.66
30312,1820
08648,1819
92084,1816
02169,1815
94609,1814
05091,1813
28209,1811
02155,1808.5
10994,1800
94544,1800
